变体,总收益,年化收益,最大回撤,夏普(rf=2%),卡玛比率,月胜率,交易笔数,个股胜率,总费用
基准(择时+中枢止损+双止损),1.927617880874433,0.10981558312034911,-0.2444809266952117,0.6229915390791222,0.4491785294042732,0.4140625,1392,0.46695402298850575,220882.54322558202
无大盘择时,2.775889266908686,0.13754748499809888,-0.5275594147543952,0.5795770171298466,0.26072415949990013,0.5078125,823,0.32107843137254904,134064.67569132394
无中枢破位离场,1.706084392888365,0.10137727458540757,-0.25175688067769475,0.577684511373175,0.40267926069195786,0.421875,1366,0.465592972181552,209769.21781164999
无移动止损,1.842610842817216,0.10664809500166506,-0.23656145908050574,0.6055159625420713,0.4508261633834908,0.40625,1374,0.4643377001455604,216872.79558280006
止损 15%,1.962099277500775,0.11107678389739317,-0.24830959952970277,0.6255145392112739,0.44733181523296756,0.4140625,1374,0.47016011644832606,219161.542999238
持仓 5 只,1.266702916544744,0.08261105055531459,-0.18460757303075503,0.4983952418679291,0.44749545860478784,0.40625,1036,0.47104247104247104,173989.79635527005
持仓 15 只,1.3444756761122059,0.08615944061500591,-0.20907937766251306,0.5593142407744159,0.41208961676785155,0.4296875,1940,0.465979381443299,135170.0238878078
笔间隔 5 根(更严),2.5900322153673714,0.13199173917785623,-0.15242174214620774,0.8556714448590693,0.8659639846607028,0.453125,1076,0.5018587360594795,178385.0022326402
离开中枢需 >3%,1.9926624095027439,0.11218363443307111,-0.2444809266952117,0.636512925069557,0.45886456644909424,0.4140625,1392,0.46551724137931033,221522.5488972719
择时用 60 日均线,1.4111151893282239,0.08911630362354228,-0.289588773214586,0.45194598458088137,0.3077339726754769,0.375,900,0.4111111111111111,126829.97147178405
持有上限 60 日,1.8887866470919414,0.10837912147101014,-0.24442970531989805,0.6147112901307297,0.4433958684733865,0.4140625,1392,0.46695402298850575,218125.26240807396
